797,68,E - Papago - Hole In The Rock
1092,68,E - Camelback - Echo Canyon Trail
470,68,N - Lookout Mountain - 306 - North Side TH
916,69,"South Mountain-Pima Dirt Rd. "
1074,69,E - PMP - Piestewa Summit Trail
739,69,E - Papago - Hole In The Rock
720,69,N - North Mountain - 44-Tower Road
882,69,E - Camelback - Echo Canyon Trail
418,69,N - Lookout Mountain - 306 - North Side TH
430,69,South Mountain-Mormon Trail
1045,70,"South Mountain-Pima Dirt Rd. "
1298,70,E - PMP - Piestewa Summit Trail
868,70,N - North Mountain - 44-Tower Road
837,70,E - Papago - Hole In The Rock
489,70,N - Lookout Mountain - 306 - North Side TH
490,70,South Mountain-Mormon Trail
990,70,E - Camelback - Echo Canyon Trail
555,71,South Mountain-Mormon Trail
1128,71,"South Mountain-Pima Dirt Rd. "
1112,71,E - Camelback - Echo Canyon Trail
1025,71,E - Papago - Hole In The Rock
955,71,N - North Mountain - 44-Tower Road
1377,71,E - PMP - Piestewa Summit Trail
528,71,N - Lookout Mountain - 306 - North Side TH
1125,72,E - Camelback - Echo Canyon Trail
1078,72,"South Mountain-Pima Dirt Rd. "
991,72,E - Papago - Hole In The Rock
534,72,South Mountain-Mormon Trail
497,72,N - Lookout Mountain - 306 - North Side TH
1331,72,E - PMP - Piestewa Summit Trail
913,72,N - North Mountain - 44-Tower Road
1156,73,"South Mountain-Pima Dirt Rd. "
541,73,N - Lookout Mountain - 306 - North Side TH
604,73,South Mountain-Mormon Trail
1005,73,E - Camelback - Echo Canyon Trail
815,73,E - Papago - Hole In The Rock
1291,73,E - PMP - Piestewa Summit Trail
899,73,N - North Mountain - 44-Tower Road
1235,74,"South Mountain-Pima Dirt Rd. "
1026,74,E - Papago - Hole In The Rock
661,74,South Mountain-Mormon Trail
1161,74,E - Camelback - Echo Canyon Trail
1028,74,N - North Mountain - 44-Tower Road
615,74,N - Lookout Mountain - 306 - North Side TH
1466,74,E - PMP - Piestewa Summit Trail
916,75,N - North Mountain - 44-Tower Road
1038,75,E - Camelback - Echo Canyon Trail
