13395,South Mountain-Mormon Trail,12/2021,69
33554,E - Camelback - Echo Canyon Trail,12/2021,69
21053,N - North Mountain - 44-Tower Road,12/2022,65
31390,E - PMP - Piestewa Summit Trail,12/2022,65
25192,"South Mountain-Pima Dirt Rd. ",12/2022,65
25956,E - Camelback - Echo Canyon Trail,12/2022,65
11016,N - Lookout Mountain - 306 - North Side TH,12/2022,65
13633,South Mountain-Mormon Trail,12/2022,65
32922,E - Papago - Hole In The Rock,12/2022,65
25586,"South Mountain-Pima Dirt Rd. ",2/2019,63
23468,E - Camelback - Echo Canyon Trail,2/2019,63
12155,E - Papago - Hole In The Rock,2/2019,63
12566,N - Lookout Mountain - 306 - North Side TH,2/2019,63
27131,E - PMP - Piestewa Summit Trail,2/2019,63
14714,South Mountain-Mormon Trail,2/2019,63
30187,"South Mountain-Pima Dirt Rd. ",2/2020,70
24046,E - Camelback - Echo Canyon Trail,2/2020,70
26798,E - PMP - Piestewa Summit Trail,2/2020,70
13216,South Mountain-Mormon Trail,2/2020,70
15487,E - Papago - Hole In The Rock,2/2020,70
14788,N - Lookout Mountain - 306 - North Side TH,2/2020,70
16984,N - North Mountain - 44-Tower Road,2/2020,70
14675,South Mountain-Mormon Trail,2/2021,73
16336,N - Lookout Mountain - 306 - North Side TH,2/2021,73
35091,"South Mountain-Pima Dirt Rd. ",2/2021,73
33540,E - Camelback - Echo Canyon Trail,2/2021,73
29856,E - Papago - Hole In The Rock,2/2021,73
43639,E - PMP - Piestewa Summit Trail,2/2021,73
33900,N - North Mountain - 44-Tower Road,2/2021,73
12855,N - Lookout Mountain - 306 - North Side TH,2/2022,71
34284,E - Camelback - Echo Canyon Trail,2/2022,71
25933,N - North Mountain - 44-Tower Road,2/2022,71
38127,E - PMP - Piestewa Summit Trail,2/2022,71
35765,E - Papago - Hole In The Rock,2/2022,71
17675,South Mountain-Mormon Trail,2/2022,71
31087,"South Mountain-Pima Dirt Rd. ",2/2022,71
16959,E - Papago - Hole In The Rock,3/2019,76
34553,E - Camelback - Echo Canyon Trail,3/2019,76
16556,N - Lookout Mountain - 306 - North Side TH,3/2019,76
14323,South Mountain-Mormon Trail,3/2019,76
39488,E - PMP - Piestewa Summit Trail,3/2019,76
33967,"South Mountain-Pima Dirt Rd. ",3/2019,76
30181,E - Papago - Hole In The Rock,3/2020,74
14975,N - North Mountain - 44-Tower Road,3/2020,74
20624,N - Lookout Mountain - 306 - North Side TH,3/2020,74
41723,E - PMP - Piestewa Summit Trail,3/2020,74
36713,"South Mountain-Pima Dirt Rd. ",3/2020,74
15089,South Mountain-Mormon Trail,3/2020,74
23471,E - Camelback - Echo Canyon Trail,3/2020,74
48470,E - PMP - Piestewa Summit Trail,3/2021,76
34699,N - North Mountain - 44-Tower Road,3/2021,76
16856,"South Mountain-Pima Dirt Rd. ",3/2021,76
46617,E - Camelback - Echo Canyon Trail,3/2021,76
16281,N - Lookout Mountain - 306 - North Side TH,3/2021,76
43440,E - Papago - Hole In The Rock,3/2021,76
14416,South Mountain-Mormon Trail,3/2021,76
31943,"South Mountain-Pima Dirt Rd. ",3/2022,79
14726,South Mountain-Mormon Trail,3/2022,79
42010,E - Camelback - Echo Canyon Trail,3/2022,79
11530,N - Lookout Mountain - 306 - North Side TH,3/2022,79
45740,E - Papago - Hole In The Rock,3/2022,79
43251,E - PMP - Piestewa Summit Trail,3/2022,79
28039,N - North Mountain - 44-Tower Road,3/2022,79
19592,"South Mountain-Pima Dirt Rd. ",4/2019,87
29409,E - PMP - Piestewa Summit Trail,4/2019,87
25255,E - Camelback - Echo Canyon Trail,4/2019,87
12039,N - Lookout Mountain - 306 - North Side TH,4/2019,87
8030,South Mountain-Mormon Trail,4/2019,87
10976,E - Papago - Hole In The Rock,4/2019,87
28370,"South Mountain-Pima Dirt Rd. ",4/2020,87
21780,N - Lookout Mountain - 306 - North Side TH,4/2020,87
7412,E - Papago - Hole In The Rock,4/2020,87
14104,E - Camelback - Echo Canyon Trail,4/2020,87
13806,South Mountain-Mormon Trail,4/2020,87
13450,E - PMP - Piestewa Summit Trail,4/2020,87
42897,N - North Mountain - 44-Tower Road,4/2020,87
10162,South Mountain-Mormon Trail,4/2021,90
35262,E - Camelback - Echo Canyon Trail,4/2021,90
29257,N - North Mountain - 44-Tower Road,4/2021,90
31243,E - Papago - Hole In The Rock,4/2021,90
7200,N - Lookout Mountain - 306 - North Side TH,4/2021,90
38142,E - PMP - Piestewa Summit Trail,4/2021,90
24286,"South Mountain-Pima Dirt Rd. ",4/2021,90
33362,E - PMP - Piestewa Summit Trail,4/2022,90
8193,South Mountain-Mormon Trail,4/2022,90
33183,E - Camelback - Echo Canyon Trail,4/2022,90
10402,N - Lookout Mountain - 306 - North Side TH,4/2022,90
22221,"South Mountain-Pima Dirt Rd. ",4/2022,90
33149,E - Papago - Hole In The Rock,4/2022,90
23119,N - North Mountain - 44-Tower Road,4/2022,90
11543,N - Lookout Mountain - 306 - North Side TH,5/2019,87
28288,E - PMP - Piestewa Summit Trail,5/2019,87
7132,E - Papago - Hole In The Rock,5/2019,87
22414,E - Camelback - Echo Canyon Trail,5/2019,87
19821,"South Mountain-Pima Dirt Rd. ",5/2019,87
5768,South Mountain-Mormon Trail,5/2019,87
21752,"South Mountain-Pima Dirt Rd. ",5/2020,99
36263,E - PMP - Piestewa Summit Trail,5/2020,99
14336,N - Lookout Mountain - 306 - North Side TH,5/2020,99
9049,South Mountain-Mormon Trail,5/2020,99
10209,E - Papago - Hole In The Rock,5/2020,99
3943,E - Camelback - Echo Canyon Trail,5/2020,99
41719,N - North Mountain - 44-Tower Road,5/2020,99
28613,E - Camelback - Echo Canyon Trail,5/2021,96
7996,N - Lookout Mountain - 306 - North Side TH,5/2021,96
20216,"South Mountain-Pima Dirt Rd. ",5/2021,96
27006,N - North Mountain - 44-Tower Road,5/2021,96
27526,E - Papago - Hole In The Rock,5/2021,96
33265,E - PMP - Piestewa Summit Trail,5/2021,96
5702,South Mountain-Mormon Trail,5/2021,96
22859,E - Papago - Hole In The Rock,5/2022,97
15451,"South Mountain-Pima Dirt Rd. ",5/2022,97
22198,E - Camelback - Echo Canyon Trail,5/2022,97
5583,South Mountain-Mormon Trail,5/2022,97
7267,N - Lookout Mountain - 306 - North Side TH,5/2022,97
18840,N - North Mountain - 44-Tower Road,5/2022,97
28231,E - PMP - Piestewa Summit Trail,5/2022,97
11552,"South Mountain-Pima Dirt Rd. ",6/2019,104
11664,E - Camelback - Echo Canyon Trail,6/2019,104
3588,South Mountain-Mormon Trail,6/2019,104
20694,E - PMP - Piestewa Summit Trail,6/2019,104
