10/3/2022,South Mountain-Mormon Trail,70,99,0,Hot
10/3/2022,"South Mountain-Pima Dirt Rd. ",289,99,0,Hot
10/4/2022,E - Camelback - Echo Canyon Trail,110,93,0,Hot
10/4/2022,E - Papago - Hole In The Rock,905,93,0,Hot
10/4/2022,E - PMP - Piestewa Summit Trail,845,93,0,Hot
10/4/2022,N - Lookout Mountain - 306 - North Side TH,255,93,0,Hot
10/4/2022,South Mountain-Mormon Trail,138,93,0,Hot
10/4/2022,"South Mountain-Pima Dirt Rd. ",473,93,0,Hot
10/5/2022,E - Camelback - Echo Canyon Trail,118,94,0,Hot
10/5/2022,E - Papago - Hole In The Rock,1976,94,0,Hot
10/5/2022,E - PMP - Piestewa Summit Trail,845,94,0,Hot
10/5/2022,N - Lookout Mountain - 306 - North Side TH,258,94,0,Hot
10/5/2022,South Mountain-Mormon Trail,85,94,0,Hot
10/5/2022,"South Mountain-Pima Dirt Rd. ",426,94,0,Hot
10/6/2022,E - Camelback - Echo Canyon Trail,149,94,0,Hot
10/6/2022,E - Papago - Hole In The Rock,2454,94,0,Hot
10/6/2022,E - PMP - Piestewa Summit Trail,825,94,0,Hot
10/6/2022,N - Lookout Mountain - 306 - North Side TH,257,94,0,Hot
10/6/2022,South Mountain-Mormon Trail,101,94,0,Hot
10/6/2022,"South Mountain-Pima Dirt Rd. ",527,94,0,Hot
10/7/2022,E - Camelback - Echo Canyon Trail,227,93,0,Hot
10/7/2022,E - Papago - Hole In The Rock,2036,93,0,Hot
10/7/2022,E - PMP - Piestewa Summit Trail,867,93,0,Hot
10/7/2022,N - Lookout Mountain - 306 - North Side TH,252,93,0,Hot
10/7/2022,South Mountain-Mormon Trail,132,93,0,Hot
10/7/2022,"South Mountain-Pima Dirt Rd. ",500,93,0,Hot
10/8/2022,E - Camelback - Echo Canyon Trail,253,90,1,Warm
10/8/2022,E - Papago - Hole In The Rock,1544,90,1,Warm
10/8/2022,E - PMP - Piestewa Summit Trail,1443,90,1,Warm
10/8/2022,N - Lookout Mountain - 306 - North Side TH,469,90,1,Warm
10/8/2022,South Mountain-Mormon Trail,223,90,1,Warm
10/8/2022,"South Mountain-Pima Dirt Rd. ",821,90,1,Warm
10/9/2022,E - Camelback - Echo Canyon Trail,263,91,1,Hot
10/9/2022,E - Papago - Hole In The Rock,2235,91,1,Hot
10/9/2022,E - PMP - Piestewa Summit Trail,1377,91,1,Hot
10/9/2022,N - Lookout Mountain - 306 - North Side TH,487,91,1,Hot
10/9/2022,South Mountain-Mormon Trail,257,91,1,Hot
10/9/2022,"South Mountain-Pima Dirt Rd. ",962,91,1,Hot
10/10/2022,E - Camelback - Echo Canyon Trail,174,91,0,Hot
10/10/2022,E - Papago - Hole In The Rock,1705,91,0,Hot
10/10/2022,E - PMP - Piestewa Summit Trail,970,91,0,Hot
10/10/2022,N - Lookout Mountain - 306 - North Side TH,262,91,0,Hot
10/10/2022,South Mountain-Mormon Trail,112,91,0,Hot
10/10/2022,"South Mountain-Pima Dirt Rd. ",573,91,0,Hot
10/11/2022,E - Camelback - Echo Canyon Trail,124,94,0,Hot
10/11/2022,E - Papago - Hole In The Rock,1793,94,0,Hot
10/11/2022,E - PMP - Piestewa Summit Trail,889,94,0,Hot
10/11/2022,N - Lookout Mountain - 306 - North Side TH,235,94,0,Hot
10/11/2022,N - North Mountain - 44-Tower Road,552,94,0,Hot
10/11/2022,South Mountain-Mormon Trail,213,94,0,Hot
10/11/2022,"South Mountain-Pima Dirt Rd. ",634,94,0,Hot
10/12/2022,E - Camelback - Echo Canyon Trail,150,95,0,Hot
10/12/2022,E - Papago - Hole In The Rock,2203,95,0,Hot
10/12/2022,E - PMP - Piestewa Summit Trail,864,95,0,Hot
10/12/2022,N - Lookout Mountain - 306 - North Side TH,258,95,0,Hot
10/12/2022,N - North Mountain - 44-Tower Road,517,95,0,Hot
10/12/2022,South Mountain-Mormon Trail,142,95,0,Hot
10/12/2022,"South Mountain-Pima Dirt Rd. ",544,95,0,Hot
10/13/2022,E - Camelback - Echo Canyon Trail,146,97,0,Hot
10/13/2022,E - Papago - Hole In The Rock,1795,97,0,Hot
10/13/2022,E - PMP - Piestewa Summit Trail,830,97,0,Hot
10/13/2022,N - Lookout Mountain - 306 - North Side TH,288,97,0,Hot
10/13/2022,N - North Mountain - 44-Tower Road,553,97,0,Hot
10/13/2022,South Mountain-Mormon Trail,158,97,0,Hot
10/13/2022,"South Mountain-Pima Dirt Rd. ",564,97,0,Hot
10/14/2022,E - Camelback - Echo Canyon Trail,216,98,0,Hot
1/1/2019,E - Camelback - Echo Canyon Trail,1259,51,0,Ideal
1/1/2019,E - Papago - Hole In The Rock,702,51,0,Ideal
1/1/2019,E - PMP - Piestewa Summit Trail,1175,51,0,Ideal
1/1/2019,N - Lookout Mountain - 306 - North Side TH,866,51,0,Ideal
1/1/2019,South Mountain-Mormon Trail,1048,51,0,Ideal
1/1/2019,"South Mountain-Pima Dirt Rd. ",1288,51,0,Ideal
1/2/2019,E - Camelback - Echo Canyon Trail,1068,52,0,Ideal
1/2/2019,E - Papago - Hole In The Rock,641,52,0,Ideal
1/2/2019,E - PMP - Piestewa Summit Trail,927,52,0,Ideal
1/2/2019,N - Lookout Mountain - 306 - North Side TH,508,52,0,Ideal
1/2/2019,South Mountain-Mormon Trail,557,52,0,Ideal
1/2/2019,"South Mountain-Pima Dirt Rd. ",823,52,0,Ideal
1/3/2019,E - Camelback - Echo Canyon Trail,1028,57,0,Ideal
1/3/2019,E - Papago - Hole In The Rock,708,57,0,Ideal
1/3/2019,E - PMP - Piestewa Summit Trail,919,57,0,Ideal
1/3/2019,N - Lookout Mountain - 306 - North Side TH,459,57,0,Ideal
1/3/2019,South Mountain-Mormon Trail,545,57,0,Ideal
1/3/2019,"South Mountain-Pima Dirt Rd. ",796,57,0,Ideal
1/4/2019,E - Camelback - Echo Canyon Trail,1157,67,0,Ideal
1/4/2019,E - Papago - Hole In The Rock,558,67,0,Ideal
1/4/2019,E - PMP - Piestewa Summit Trail,992,67,0,Ideal
1/4/2019,N - Lookout Mountain - 306 - North Side TH,467,67,0,Ideal
1/4/2019,South Mountain-Mormon Trail,635,67,0,Ideal
